Peak, Elev-M , Prom-M ,Country,State/Prov,County,Range,Url
Vedetta Alta,2627,432,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=125355
Cimon de le Sute,2615,553.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46610
Gametzalpenkopf,2594,315,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=76823
Monte Forca Grande,2576,701,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13839
Cima delle Buse,2573.5,316,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195849
Monte Muro,2567,354,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=48425
Cima Brunella,2530.2,413.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46614
Coltorondo,2529.7,352,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46612
Monte Villandro,2509,446,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=46561
Cima Busa Alta,2507.7,324.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46611
Pala di Santa,2491.9,495.9,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=100299
Viezzena,2490.7,437.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45709
Monte Croce,2488.1,535.5,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46608
Piz di Sagron,2486,341,Italy,Trentino-Alto Adige/Veneto,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=130507
Ziolera,2477.8,343.8,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46609
Cima Scanaiol,2465.1,481.5,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=130506
Col della Croce,2443.8,401,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46613
La Rocca,2439.8,632.4,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13952
Monte Luco,2433.3,651.7,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=13956
Cima d'Oltro,2394.8,301,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=216349
Cima di Sette Selle,2393.4,323.3,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46603
Cima Dódici,2337,1872.3,Italy,Trentino-Alto Adige/Veneto,Vicenza/Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=10127
Monte Muro,2332,463,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45752
Cima Cavallazza,2324.5,353.3,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45241
Corno Bianco,2317,328,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46906
Plan de Corones,2275,516,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=96723
Cima Carega,2258.3,1187.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13591
Monte Cadria,2253.9,1433.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=1451
Monte Pasúbio,2232.7,1068.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13624
Monte Lavanech,2230.1,335.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46627
Cima Valdritta,2217.4,1947.5,Italy,Trentino-Alto Adige/Veneto,Verona/Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=10093
Monte Bondone,2180.4,1690.7,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13271
Monte Bullaccia,2174,335,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46562
Becco di Filadonna,2149.9,933.3,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13681
La Paganella,2125,1106.6,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13610
Monte Roën,2115.1,751.7,Italy,Trentino-Alto Adige,Trento/Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=13795
Palon,2090.9,533.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=92431
Monte Altissimo di Nago,2078.6,654.5,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13934
Monte Agaro,2066.4,458.4,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46616
Monte Stivo,2060.2,500.2,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=44725
La Petta,2058.8,483,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195606
Cima Parì,1991.6,412.6,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=45256
Monte Caplone,1976.2,1229.4,Italy,Lombardy/Trentino-Alto Adige,Trento/Brescia,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13584
Monte Tremalzo,1973.5,542.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=44542
Dosso di Costalta,1955.3,498.8,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46605
Cima Sera,1908.7,335.8,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46624
Monte Cornetto,1899,442.5,Italy,Trentino-Alto Adige/Veneto,Vicenza,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46637
Craunel,1873.3,372.4,Italy,Trentino-Alto Adige,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=125128
Monte Macaion,1866.3,345.5,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=125346
Monte Zugna,1864.8,405.9,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=92438
Cima Spessa,1821.1,354,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=45765
Monte Corno,1806.3,707.6,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13831
Monte Misone,1803.8,1040.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13635
La Marzola,1737.5,1046.5,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13629
Monte Totoga,1705.2,718.4,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13833
Monte Stigolo,1699.3,402.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46626
Monte Mezza,1678.7,767.8,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13783
Monte Silana,1656.4,389.4,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46615
Monte Casale,1632.2,786.5,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13776
Tisner Gall,1631,351,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=124516
Monte Carone,1621.1,395.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=45691
Monte Biaena,1617.4,365.3,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=89680
Monte Pozza,1616,326,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46563
Monte Finonchio,1602.9,348.1,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46621
Gac',1593.2,495.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46607
Cima Cucul,1563,401,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46564
Dosso Alto,1553.7,522,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=144226
Colle della Stanga,1537.2,587.6,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46618
Ceramonte,1516.6,492.8,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46606
Monte San Martino,1449.6,438.8,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46623
Monte Biaina,1413,306.6,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46625
Doss Pagano,1350.5,411,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46622
Monte Abete,1222,311,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=48426
Monte Calisio,1096.4,446.8,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46602
Monte Zebrù,3735,200,Italy,Lombardy/Trentino-Alto Adige,Sondrio/Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=45184
Palon de la Mare,3693.9,275.8,Italy,Trentino-Alto Adige,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=45175
Monte Vioz,3645.4,240,Italy,Lombardy/Trentino-Alto Adige,Trento/Sondrio,Ortles,https://www.peakbagger.com/peak.aspx?pid=45174
Punta Taviela,3610.9,282.2,Italy,Lombardy/Trentino-Alto Adige,Sondrio,Ortles,https://www.peakbagger.com/peak.aspx?pid=45173
Similaun,3596.5,277.9,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano/Imst,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=10109
Schwemser Spitze,3456,212,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=121730
Gioveretto,3439,289,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=125425
Wilder Freiger,3418.5,282.5,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano/Innsbruck-Land,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45329
Cima dei Corvi,3393,202,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=127314
Tschenglser Hochwand,3375,200,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=39361
Punta Valbella,3359,232,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=127316
Peak 3277,3277,252,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125848
Wildgall,3273,292,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=133756
Botzer,3251,275,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45332
Remsspitze,3212,262,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125847
Cimon della Pala,3185,257.2,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45245
Croda del Tovale,3175,237,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125836
Corno di Lago Scuro,3162.1,234.4,Italy,Trentino-Alto Adige/Lombardy,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195640
Punta della Croce,3140,209,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125849
Cima dei Bureloni,3126.5,243,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=161041
Pulpito di Flim,3113,221,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=125423
Lengspitze,3104.3,277.4,Austria/Italy,Tirol/Trentino-Alto Adige,,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=122875
Cima d'Ambiez,3096.1,212,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=221675
Keilbachspitze,3093.8,268.5,Austria/Italy,Tirol/Trentino-Alto Adige,,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=119171
Merbspitze,3088.7,247.9,Austria/Italy,Tirol/Trentino-Alto Adige,,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=122874
Punta di Ercavallo,3067.2,234,Italy,Trentino-Alto Adige/Lombardy,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=125251
Cima di Focobon,3053.8,248.7,Italy,Trentino-Alto Adige/Veneto,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=221677
Große Windscharspitze,3041,239,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=133759
Torre di Brenta,3014.3,275.4,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=221676
Cima Buciaga,3013.1,211.9,Italy,Trentino-Alto Adige/Lombardy,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=206632
Cop di Breguzzo,3002.4,236,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=154521
Dente de Mezzodi,3000,228,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=125932
Kraxentrager,2997.8,256.1,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=94150
Monte Redival,2973.5,213.6,Italy,Trentino-Alto Adige,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=125255
Peak 2965,2965,205.5,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=202432
Croda Rossa,2965,248,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=126053
Cima degli Armi,2950.2,207.2,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=202434
Gschnitzer Tribulaun,2946.2,203.8,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano/Innsbruck-Land,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45276
Punta di Rasàss,2941,243,Italy,Trentino-Alto Adige,Bolzano,Rhaetian Alps,https://www.peakbagger.com/peak.aspx?pid=125883
Cima di Fradusta,2939.4,282.6,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=130508
Croda Rossa,2939,207,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125958
Il Marzolo,2934,272,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125482
Cima Undici,2926,227,Italy,Trentino-Alto Adige,Bolzano,Rhaetian Alps,https://www.peakbagger.com/peak.aspx?pid=125881
Schwarze Wand,2917.1,270.9,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano/Innsbruck-Land,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45277
Glockenkarkopf,2916.4,251.1,Italy/Austria,Trentino-Alto Adige/Salzburg,Bolzano/Zell Am See,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45315
Piz Terza,2909.1,279.2,Switzerland/Italy,Graubünden/Trentino-Alto Adige,Inn,Rhaetian Alps,https://www.peakbagger.com/peak.aspx?pid=124105
Monte Mulaz,2905.4,288.4,Italy,Trentino-Alto Adige/Veneto,Trento/Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45708
Cima Grande,2902.1,281.2,Italy,Trentino-Alto Adige,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=125243
Cima Canali,2899,279.4,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195621
Sasso Alto,2896.8,220.1,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195603
Rotbachlspitze,2896.5,216.2,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=94136
Cima Tremenesca,2887,228.5,Italy,Trentino-Alto Adige,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=125248
Campanile Basso,2875.2,209.4,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=206630
Scoglio Rosso,2874,210,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125953
Grande Fermeda,2873,276,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=125946
Punta di Ulsen,2873,292,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125841
Lastei d'Agner,2861,238,Italy,Trentino-Alto Adige,Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=230407
Cima Piccola di Lavaredo,2857,222,Italy,Trentino-Alto Adige/Veneto,Bolzano/Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=35352
Sefiar Spitze,2846,201,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=39348
Cima di Lastei,2845.5,202,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=202438
Cima Valbona,2822,223,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=230416
Weißen,2822,251,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45282
Torri del Vajolet - Torre Principale,2821,205,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=134934
Croda Rossa,2818,269,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=126038
Cima Brenta Bassa,2812.3,227.7,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195615
Piz Lat South,2808.9,237.3,Switzerland/Italy,Graubünden/Trentino-Alto Adige,Inn,Rhaetian Alps,https://www.peakbagger.com/peak.aspx?pid=124085
Monte Campellio,2808.1,295.5,Italy,Trentino-Alto Adige/Lombardy,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195639
Roda di Vaèl,2806,246,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45763
Corno d'Ega,2799,249,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=130513
Wolfendorn,2775.6,225,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano/Innsbruck-Land,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=76082
Riepenspitze,2774,270.3,Austria/Italy,Tirol/Trentino-Alto Adige,Lienz,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=122073
Cima di Laste,2766.7,250.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=197831
Col de la Pieres,2751,246,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45747
Monte Paterno,2746,210,Italy,Trentino-Alto Adige/Veneto,Bolzano/Belluno,Dolomites,https://www.peakbagger.com/peak.aspx?pid=28741
Fossa della Mutta,2736,295,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=125412
Il Gran Ladro,2730,256,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=125411
Cima di Ghez,2713,290,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=230345
Corno Alto,2707,252.7,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=125208
Tagewaldhorn,2706,270,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=110113
Monte Grande,2701,201,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125967
Monte Flemm,2696,257,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125951
Monte Daino,2695,220,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195829
Amperspitze,2688,294,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=109951
Torre dei Scarperi,2687,296,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=126051
Laste di Verdines,2680,282,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=46556
Hohe Ferse,2669,289,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45307
Sassongher,2665,230,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45793
Eisenreich,2664.4,203.3,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano/Lienz,Carnic Alps,https://www.peakbagger.com/peak.aspx?pid=92889
Monte Mattonara,2660,236,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=125231
Roterdspitze,2655,215,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=49083
Monte Tullen,2653,296,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=125979
Cima Binasia,2643.8,244.1,Italy,Trentino-Alto Adige,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=125230
Punta Vallaccia,2639.4,211.9,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45712
Torre di Toblin,2617,212,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=95807
Punta Camin,2610,215,Italy,Trentino-Alto Adige/Veneto,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195861
Castel Pagano,2608.2,201,Italy,Trentino-Alto Adige,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=125236
Cima delle Stellune,2593.6,233.9,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195864
Corno del Ceppo,2590,209,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125826
Plankenhorn,2589,290,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=46560
Grande Ivigna,2581,258,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=104554
Kaserbacher Hörndle,2578,210,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125940
Cima di Lagorai,2569.3,206.2,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195850
Cima di Blumone,2565.8,233.1,Italy,Lombardy/Trentino-Alto Adige,Trento/Brescia,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=45786
Monte Pez,2563,201,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=37707
Monte Corona,2562.2,234.2,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195604
Monte Vàtles,2555,219,Italy,Trentino-Alto Adige,Bolzano,Rhaetian Alps,https://www.peakbagger.com/peak.aspx?pid=125823
Hochplattspitze,2546,206,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45296
Corno Planca,2543,219,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125825
Castello dei Camosci,2535,223,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195622
Castel di Bombasel,2532,258,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195852
Punta della Madonna,2524,280,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195591
Speikboden,2517,240,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=51132
Gitsch,2510,251,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=51150
Monte Corona,2507.1,258.3,Italy,Trentino-Alto Adige/Veneto,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195597
Piz de Peres,2507,254,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45741
Busa Grana,2500.2,217.2,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195853
Monte Cauriol,2493.2,273.5,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=195625
Rammelstein,2483,296,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=48427
Cimon di Val Moena,2481.8,225,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=196020
